5.64V,9.03A
4.45V,10.13A
5.21V,9.46A
5.83V,8.74A
6.84V,8.54A
6.13V,9.92A
5.21V,10.24A
4.70V,9.97A
4.61V,9.58A
5.31V,8.58A
5.97V,8.92A
5.95V,9.38A
5.42V,10.37A
4.32V,10.34A
4.58V,9.96A
5.49V,9.24A
5.90V,8.79A
6.16V,9.04A
6.00V,10.11A
4.36V,10.66A
4.81V,9.87A
5.28V,8.86A
6.07V,8.92A
6.27V,8.47A
6.26V,9.45A
5.45V,10.27A
4.88V,10.75A
4.47V,9.36A
5.86V,9.06A
6.45V,8.17A
5.70V,9.26A
5.33V,9.91A
4.07V,10.28A
4.28V,9.40A
5.61V,8.56A
5.93V,8.06A
6.51V,9.35A
5.60V,9.73A
4.16V,10.69A
5.07V,9.89A
4.90V,9.40A
6.47V,8.11A
6.66V,8.49A
5.34V,9.41A
5.02V,10.53A
4.09V,10.23A
5.07V,9.23A
6.55V,8.14A
6.38V,8.36A
5.92V,9.85A
4.63V,10.22A
4.92V,10.87A
4.38V,10.07A
6.19V,8.62A
6.34V,8.32A
5.77V,9.01A
5.59V,10.25A
4.45V,10.87A
4.46V,9.48A
5.40V,9.07A
6.37V,8.34A
5.92V,9.29A
5.36V,9.72A
4.45V,10.09A
4.63V,10.11A
4.91V,9.44A
5.78V,8.21A
6.37V,8.77A
6.24V,9.98A
5.34V,10.53A
4.11V,10.54A
4.82V,9.46A
6.12V,9.10A
6.64V,9.04A
5.66V,9.75A
4.97V,10.28A
4.62V,10.06A
4.68V,10.17A
5.78V,8.78A
6.09V,8.29A
6.15V,9.03A
5.47V,10.20A
5.04V,10.22A
4.18V,9.58A
5.46V,8.77A
5.86V,8.22A
6.03V,8.97A
5.88V,10.21A
4.76V,10.56A
4.75V,9.77A
5.55V,9.53A
6.36V,8.85A
6.91V,8.96A
6.28V,9.90A
4.99V,10.33A
4.61V,10.65A
4.85V,9.29A
6.25V,8.46A
6.26V,8.74A
5.96V,9.68A
5.01V,9.84A
5.01V,10.24A
4.50V,9.51A
5.73V,9.02A
6.34V,8.43A
6.74V,9.00A
5.54V,10.36A
4.27V,10.38A
4.76V,9.87A
5.10V,9.37A
5.85V,8.42A
6.45V,9.23A
5.76V,9.26A
4.69V,10.66A
4.65V,10.00A
4.54V,9.50A
5.53V,8.71A
6.93V,8.89A
6.27V,9.17A
5.62V,9.93A
4.71V,10.40A
4.37V,9.41A
5.56V,9.06A
6.17V,8.81A
6.09V,9.57A
5.41V,10.19A
5.01V,10.21A
4.88V,10.35A
5.80V,9.10A
6.00V,8.18A
6.34V,9.19A
6.14V,9.60A
5.10V,10.72A
4.59V,9.91A
5.59V,9.00A
5.91V,8.58A
6.21V,8.35A
5.91V,9.91A
5.28V,10.63A
4.60V,10.29A
5.31V,9.63A
6.13V,8.97A
6.84V,8.54A
6.15V,9.12A
5.52V,10.14A
4.30V,10.70A
4.97V,9.52A
5.38V,8.47A
6.27V,8.91A
6.50V,8.76A
5.40V,10.13A
4.60V,10.94A
4.08V,9.74A
5.11V,8.82A
6.61V,8.89A
5.99V,8.98A
5.53V,9.35A
5.03V,10.92A
4.80V,10.71A
4.88V,9.53A
6.34V,8.13A
6.23V,8.62A
5.73V,9.18A
5.22V,10.57A
4.45V,10.18A
4.38V,9.96A
6.08V,8.71A
6.69V,8.97A
6.59V,9.08A
4.98V,10.33A
4.58V,10.12A
4.48V,9.54A
5.25V,8.95A
6.79V,8.37A
5.97V,8.79A
5.33V,9.56A
4.99V,10.28A
4.80V,10.53A
5.27V,9.39A
6.46V,8.38A
6.50V,8.95A
5.87V,9.52A
4.50V,10.55A
4.58V,9.90A
5.07V,9.54A
6.39V,8.25A
6.79V,8.37A
6.16V,9.85A
4.75V,9.95A
4.47V,10.92A
4.75V,10.19A
6.11V,8.94A
6.72V,8.50A
6.49V,9.33A
5.46V,9.70A
4.20V,10.70A
4.58V,10.05A
5.10V,9.28A
5.94V,8.13A
6.07V,9.27A
5.53V,9.45A
4.36V,10.53A
4.10V,10.17A
5.27V,9.25A
6.42V,8.94A
6.30V,8.91A
6.48V,9.42A
5.44V,10.12A
4.01V,10.04A
4.88V,9.51A
6.27V,8.85A
6.94V,8.12A
6.56V,9.48A
5.75V,10.19A
4.69V,10.74A
4.50V,10.09A
5.74V,9.02A
6.20V,8.76A
6.25V,9.30A
6.09V,9.52A
4.31V,10.07A
4.52V,10.25A
5.56V,9.20A
6.54V,8.33A
6.42V,8.42A
5.73V,9.72A
5.05V,10.88A
4.08V,10.76A
4.77V,9.08A
5.91V,8.53A
6.50V,8.13A
5.89V,9.66A
5.59V,10.05A
4.37V,10.21A
4.56V,10.03A
5.50V,8.72A
6.88V,8.61A
6.42V,8.97A
5.07V,10.13A
4.77V,10.69A
4.61V,9.80A
4.99V,9.41A
6.44V,8.15A
6.62V,8.92A
6.04V,9.95A
4.82V,10.49A
4.87V,10.13A
4.96V,9.47A
5.79V,8.44A
6.51V,8.51A
6.43V,9.53A
5.36V,10.44A
4.77V,10.62A
5.13V,9.34A
6.13V,8.21A
6.39V,8.17A
6.33V,9.52A
5.21V,10.60A
4.43V,10.50A
5.19V,9.87A
5.33V,9.15A
6.79V,8.93A
6.62V,8.53A
5.89V,10.19A
5.03V,10.02A
4.78V,10.26A
5.66V,9.54A
6.67V,8.24A
6.72V,9.21A
6.18V,9.55A
4.94V,10.83A
4.58V,10.18A
5.02V,9.07A
6.17V,8.91A
6.89V,8.32A
6.37V,9.91A
5.17V,9.96A
4.79V,10.30A
4.99V,10.08A
5.56V,8.51A
6.35V,8.27A
6.04V,8.92A
4.92V,10.15A
4.74V,10.00A
4.27V,10.00A
5.21V,8.82A
6.72V,8.29A
6.37V,8.61A
5.89V,10.06A
4.56V,10.34A
4.52V,9.84A
5.39V,9.16A
6.19V,8.45A
6.60V,9.04A
6.12V,9.24A
4.62V,10.18A
4.41V,9.87A
5.35V,9.99A
6.28V,8.96A
6.14V,8.55A
6.40V,9.13A
4.91V,10.29A
4.88V,10.42A
5.11V,10.14A
5.93V,9.25A
6.49V,8.98A
6.68V,9.02A
5.90V,10.23A
4.58V,10.72A
4.70V,10.28A
5.73V,9.42A
6.21V,8.92A
6.92V,8.48A
5.50V,9.91A
4.93V,10.30A
4.12V,9.93A
4.61V,9.57A
6.10V,8.73A
6.90V,8.82A
6.06V,9.53A
5.10V,10.04A
4.84V,10.76A
5.23V,9.99A
6.02V,8.36A
6.02V,8.47A
6.20V,9.44A
5.51V,10.53A
4.61V,10.55A
4.20V,9.59A
4.99V,8.83A
6.65V,8.12A
6.63V,8.73A
5.95V,9.63A
4.46V,10.73A
4.14V,9.69A
5.10V,9.30A
5.85V,8.76A
6.53V,8.71A
5.66V,10.01A
5.06V,10.04A
4.95V,10.68A
4.52V,9.69A
6.18V,8.63A
6.72V,8.40A
5.99V,9.79A
5.68V,9.99A
4.93V,10.30A
5.10V,10.01A
5.24V,8.90A
6.14V,8.68A
5.92V,8.66A
5.86V,10.20A
5.14V,10.63A
4.99V,9.86A
5.24V,8.91A
5.80V,8.03A
6.69V,8.87A
5.75V,9.36A
4.43V,10.95A
4.79V,10.58A
4.63V,9.79A
6.33V,8.33A
6.66V,8.69A
6.08V,9.72A
5.46V,10.55A
4.81V,10.26A
5.28V,10.06A
5.53V,8.36A
6.77V,8.15A
6.61V,9.17A
5.34V,10.18A
4.54V,10.87A
5.02V,9.81A
5.16V,9.38A
5.94V,8.11A
6.88V,9.20A
6.09V,9.57A
4.77V,10.76A
4.87V,9.99A
5.66V,9.39A
5.97V,8.87A
6.15V,8.88A
6.25V,9.32A
4.53V,10.16A
4.70V,10.01A
4.84V,9.65A
5.99V,8.82A
6.57V,8.88A
6.06V,9.48A
4.92V,10.62A
4.74V,10.37A
5.09V,9.56A
6.15V,8.52A
6.03V,8.61A
6.17V,8.85A
5.83V,10.34A
4.76V,10.84A
4.28V,10.12A
4.93V,8.81A
6.53V,8.47A
6.22V,8.59A
5.25V,9.48A
5.30V,10.71A
4.20V,10.61A
5.47V,9.30A
6.18V,8.86A
6.45V,8.32A
6.21V,9.66A
5.50V,10.49A
4.34V,10.38A
4.80V,9.43A
5.59V,8.82A
6.02V,9.00A
6.28V,9.21A
4.90V,10.08A
4.42V,10.71A
5.18V,9.97A
5.16V,8.58A
6.03V,8.82A
6.78V,8.74A
5.62V,10.33A
4.41V,10.98A
4.20V,9.74A
5.68V,9.39A
6.45V,8.62A
6.71V,9.21A
6.33V,9.32A
4.76V,10.43A
4.04V,10.10A
4.92V,9.23A
5.55V,8.60A
6.74V,9.07A
6.29V,9.69A
4.91V,9.97A
4.27V,10.87A
4.53V,9.37A
5.54V,8.75A
6.36V,8.91A
6.60V,9.56A
5.75V,9.80A
4.79V,10.08A
4.17V,10.43A
5.46V,9.04A
6.31V,8.21A
6.72V,9.33A
5.87V,9.87A
5.26V,10.34A
4.44V,9.93A
5.39V,9.67A
6.26V,8.54A
6.43V,8.68A
6.16V,9.37A
5.30V,9.92A
4.74V,10.19A
5.10V,9.18A
5.91V,9.12A
6.13V,8.74A
5.97V,9.19A
5.50V,10.35A
4.27V,10.41A
4.79V,10.13A
5.60V,8.57A
6.06V,8.68A
6.78V,8.85A
5.54V,10.20A
4.88V,10.21A
4.35V,9.86A
5.03V,8.73A
6.37V,8.19A
6.78V,9.18A
5.56V,9.85A
4.79V,10.58A
4.20V,10.64A
5.49V,8.99A
5.79V,8.39A
6.21V,9.13A
5.76V,9.09A
5.02V,10.42A
4.63V,10.65A
4.97V,9.86A
5.90V,8.73A
6.47V,8.78A
6.63V,9.49A
5.45V,9.90A
4.46V,10.74A
4.45V,9.98A
5.46V,8.73A
6.44V,8.55A
6.03V,9.18A
5.28V,9.72A
4.43V,10.45A
4.63V,10.13A
5.29V,9.62A
5.92V,8.94A
6.14V,9.19A
5.80V,9.15A
5.24V,10.81A
4.56V,9.88A
4.63V,9.27A
5.51V,8.82A
6.70V,8.65A
5.95V,9.17A
5.52V,10.69A
4.28V,10.80A
4.40V,9.65A
5.35V,8.89A
6.23V,8.32A
6.15V,8.72A
5.96V,10.38A
4.19V,10.62A
4.65V,10.49A
5.43V,8.83A
6.58V,8.34A
6.31V,8.74A
5.62V,9.90A
4.85V,10.61A
4.48V,10.24A
4.85V,9.06A
5.92V,8.26A
6.16V,9.03A
6.42V,9.14A
4.84V,10.39A
4.39V,10.50A
4.42V,9.83A
5.94V,8.95A
6.75V,8.47A
6.08V,9.38A
5.58V,9.78A
4.29V,10.69A
4.27V,9.83A
5.52V,8.55A
6.12V,8.31A
5.98V,9.01A
5.58V,10.41A
4.52V,10.89A
4.15V,9.68A
4.77V,9.44A
6.02V,8.17A
6.74V,8.67A
6.03V,9.98A
4.46V,10.18A
4.53V,10.00A
5.10V,9.45A
5.76V,8.63A
6.49V,8.90A
6.19V,9.65A
5.32V,10.07A
4.76V,10.17A
4.86V,10.04A
6.07V,8.81A
6.22V,8.60A
6.06V,9.59A
5.01V,10.46A
4.87V,10.63A
4.26V,10.32A
5.81V,9.11A
5.93V,8.33A
6.47V,9.08A
5.49V,9.95A
5.08V,10.73A
4.82V,10.60A
5.25V,9.35A
6.28V,8.16A
6.37V,9.02A
6.32V,9.18A
4.99V,10.55A
4.62V,10.57A
4.79V,9.48A
5.74V,9.00A
6.84V,8.18A
6.32V,9.52A
5.54V,10.04A
4.70V,10.00A
4.68V,10.33A
5.58V,8.89A
6.33V,8.32A
6.22V,9.30A
5.97V,9.89A
4.94V,10.69A
4.29V,9.98A
4.83V,9.37A
6.22V,8.57A
6.49V,8.46A
6.23V,9.67A
4.52V,10.68A
4.01V,10.31A
5.33V,9.23A
6.05V,8.51A
6.26V,8.73A
6.30V,9.91A
5.22V,9.92A
4.03V,10.43A
4.31V,9.76A
5.59V,9.13A
6.12V,8.49A
6.79V,8.93A
5.51V,10.07A
4.65V,10.53A
4.91V,9.51A
5.79V,8.83A
6.66V,8.17A
6.23V,9.21A
